symbol,name
IFN,Infragreen Group Limited
IFT,Infratil Limited
IG6,International Graphite Limited
IGL,IVE Group Limited
IGN,Ignite Limited
IGO,IGO Limited
IIQ,INOVIQ Ltd
IKE,ikeGPS Group Limited
ILA,Island Pharmaceuticals Limited
ILT,Iltani Resources Limited
ILU,Iluka Resources Limited
IMA,Image Resources NL
IMB,Intelligent Monitoring Group Limited
IMC,Immuron Limited
IMD,Imdex Limited
IME,ImExHS Limited
IMI,Infinity Mining Limited
IMM,Immutep Limited
IMR,"Imricor Medical Systems, Inc."
IMU,Imugene Limited
INA,Ingenia Communities Group
IND,Industrial Minerals Ltd
INF,Infinity Metals Limited
ING,Inghams Group Limited
INR,ioneer Ltd
INV,InvestSMART Group Limited
IOD,IODM Limited
ION,Iondrive Limited
IOV,Ion Video Ltd
IPC,Imperial Pacific Limited
IPD,ImpediMed Limited
IPG,IPD Group Limited
IPH,IPH Limited
IPT,Impact Minerals Limited
IPX,IperionX Limited
IR1,IRIS Metals Limited
IRD,Iron Road Limited
IRE,Iress Limited
IRI,Integrated Research Limited
IS3,I Synergy Group Limited
ITM,iTech Minerals Ltd
ITS,Infotrust Ltd
IVG,Invert Graphite Limited
IVR,Investigator Silver Limited
IVX,Invion Limited
IVZ,Invictus Energy Limited
IXC,Invex Therapeutics Ltd
IXR,Ionic Rare Earths Limited
JAL,Jameson Resources Limited
JAN,Janison Education Group Limited
JAT,Jatcorp Limited
JAV,Javelin Minerals Limited
JAY,Jayride Group Limited
JBH,JB Hi-Fi Limited
JCS,JCurve Solutions Limited
JDO,Judo Capital Holdings Limited
JGH,Jade Gas Holdings Limited
