symbol,name,yahoo,stockanalysis,has_listing
JSML,Jauharabad Sugar Mills Limited,JSML.KA,JSML,1
JSRR,JS Rental REIT,JSRR.KA,JSRR,1
JUBS,Jubilee Spinning & Weaving Mills Ltd.,JUBS.KA,JUBS,1
JVDC,Javedan Corporation Limited,JVDC.KA,JVDC,1
KAPCO,Kot Addu Power Company Limited,KAPCO.KA,KAPCO,1
KCL,Karam Ceramics Limited,KCL.KA,KCL,1
KEL,K-Electric Limited,KEL.KA,KEL,1
KHTC,Khyber Tobacco Company Limited,KHTC.KA,KHTC,1
KHYT,Khyber Textile Mills Limited,KHYT.KA,KHYT,1
KML,Kohinoor Mills Limited,KML.KA,KML,1
KOHC,Kohat Cement Company Limited,KOHC.KA,KOHC,1
KOHE,Kohinoor Energy Limited,KOHE.KA,KOHE,1
KOHP,Kohinoor Power Company Limited,KOHP.KA,KOHP,1
KOHTM,Kohat Textile Mills Limited,KOHTM.KA,KOHTM,1
KOIL,Kohinoor Industries Limited,KOIL.KA,KOIL,1
KOSM,Kohinoor Spinning Mills Limited,KOSM.KA,KOSM,1
KPUS,Khairpur Sugar Mills Limited,KPUS.KA,KPUS,1
KSBP,KSB Pumps Company Limited,KSBP.KA,KSBP,1
KSTM,Khalid Siraj Textile Mills Limited,KSTM.KA,KSTM,1
KTML,Kohinoor Textile Mills Limited,KTML.KA,KTML,1
LCI,Lucky Core Industries Limited,LCI.KA,LCI,1
LEUL,Leather Up Limited,LEUL.KA,LEUL,1
LIVEN,Liven Pharma Limited,LIVEN.KA,LIVEN,1
LOADS,Loads Limited,LOADS.KA,LOADS,1
LOTCHEM,Lotte Chemical Pakistan Limited,LOTCHEM.KA,LOTCHEM,1
LPGL,Leiner Pak Gelatine Limited,LPGL.KA,LPGL,1
LPL,Lalpir Power Limited,LPL.KA,LPL,1
LSECL,LSE Capital Limited,LSECL.KA,LSECL,1
LSEFSL,LSE Financial Services Ltd.,LSEFSL.KA,LSEFSL,1
LUCK,Lucky Cement Limited,LUCK.KA,LUCK,1
MACFL,MACPAC Films Limited,MACFL.KA,MACFL,1
MACTER,Macter International Limited,MACTER.KA,MACTER,1
MARI,Mari Energies Limited,MARI.KA,MARI,1
MCB,MCB Bank Limited,MCB.KA,MCB,1
MCBIM,MCB Investment Management Limited.,MCBIM.KA,MCBIM,1
MDTL,Media Times Limited,MDTL.KA,MDTL,1
MEBL,Meezan Bank Limited,MEBL.KA,MEBL,1
MEHT,Mehmood Textile Mills Limited,MEHT.KA,MEHT,1
MERIT,Merit Packaging Limited,MERIT.KA,MERIT,1
MFFL,Mitchells Fruit Farms Limited,MFFL.KA,MFFL,1
MFL,Matco Foods Limited,MFL.KA,MFL,1
MIRKS,Mirpurkhas Sugar Mills Limited,MIRKS.KA,MIRKS,1
MLCF,Maple Leaf Cement Factory Limited,MLCF.KA,MLCF,1
MQTM,Maqbool Textile Mills Limited,MQTM.KA,MQTM,1
MRNS,Mehran Sugar Mills Limited,MRNS.KA,MRNS,1
MSCL,Metropolitan Steel Corporation Limited,MSCL.KA,MSCL,1
MSOT,Masood Textile Mills Limited,MSOT.KA,MSOT,1
MTL,Millat Tractors Limited,MTL.KA,MTL,1
