provider_symbol,symbol,sector,industry,source
6004.SR,6004,Industrials,Airports & Air Services,
6010.SR,6010,Consumer Defensive,Packaged Foods,
6012.SR,6012,Consumer Cyclical,Restaurants,
6013.SR,6013,Consumer Cyclical,Restaurants,
6014.SR,6014,Consumer Cyclical,Restaurants,
6016.SR,6016,Consumer Cyclical,Restaurants,
6017.SR,6017,Consumer Cyclical,Internet Retail,
6018.SR,6018,Consumer Cyclical,Leisure,
6019.SR,6019,Consumer Defensive,Education & Training Services,
6020.SR,6020,Consumer Defensive,Farm Products,
6040.SR,6040,Consumer Defensive,Farm Products,
6050.SR,6050,Consumer Defensive,Farm Products,
6060.SR,6060,Consumer Defensive,Farm Products,
6070.SR,6070,Consumer Defensive,Packaged Foods,
6090.SR,6090,Consumer Defensive,Farm Products,
7010.SR,7010,Communication Services,,
7020.SR,7020,Communication Services,Telecom Services,
7030.SR,7030,Communication Services,Telecom Services,
7040.SR,7040,Communication Services,Telecom Services,
7200.SR,7200,Technology,Information Technology Services,
7201.SR,7201,Technology,Software—Application,
7202.SR,7202,Communication Services,Telecom Services,
7203.SR,7203,Technology,Information Technology Services,
7204.SR,7204,Technology,Software—Infrastructure,
7211.SR,7211,Technology,Software—Application,
8010.SR,8010,Financial Services,Insurance—Life,
8012.SR,8012,Financial Services,Insurance—Life,
8020.SR,8020,Financial Services,Insurance—Property & Casualty,
8030.SR,8030,Financial Services,Insurance—Life,
8040.SR,8040,Financial Services,Insurance—Diversified,
8050.SR,8050,Financial Services,Insurance—Property & Casualty,
8060.SR,8060,Financial Services,Insurance—Diversified,
8070.SR,8070,Financial Services,Insurance—Property & Casualty,
8100.SR,8100,Financial Services,Insurance—Diversified,
8120.SR,8120,Financial Services,Insurance—Diversified,
8150.SR,8150,Financial Services,Insurance—Property & Casualty,
8160.SR,8160,Financial Services,Insurance—Property & Casualty,
8170.SR,8170,Financial Services,Insurance—Diversified,
8180.SR,8180,Financial Services,Insurance—Property & Casualty,
8190.SR,8190,Financial Services,Insurance—Diversified,
8200.SR,8200,Financial Services,Insurance—Reinsurance,
8210.SR,8210,Financial Services,Insurance—Specialty,
8230.SR,8230,Financial Services,Insurance—Property & Casualty,
8240.SR,8240,Financial Services,Insurance—Diversified,
8250.SR,8250,Financial Services,Insurance—Diversified,
8260.SR,8260,Financial Services,Insurance—Property & Casualty,
8280.SR,8280,Financial Services,Insurance—Diversified,
8300.SR,8300,Financial Services,Insurance—Diversified,
8310.SR,8310,Financial Services,Insurance—Life,
8311.SR,8311,Financial Services,Insurance—Life,
8313.SR,8313,Financial Services,Insurance Brokers,
9510.SR,9510,Basic Materials,Steel,
9513.SR,9513,Basic Materials,Steel,
9514.SR,9514,Basic Materials,Building Materials,
9515.SR,9515,Consumer Defensive,Packaged Foods,
9516.SR,9516,Utilities,Utilities—Regulated Gas,
9517.SR,9517,Basic Materials,Chemicals,
9521.SR,9521,Real Estate,Real Estate—Development,
9522.SR,9522,Technology,Electronics & Computer Distribution,
9523.SR,9523,Basic Materials,Steel,
9524.SR,9524,Industrials,Security & Protection Services,
9527.SR,9527,Healthcare,Medical Distribution,
9530.SR,9530,Healthcare,Medical Care Facilities,
9532.SR,9532,Consumer Defensive,Beverages—Non-Alcoholic,
9533.SR,9533,Consumer Cyclical,Auto Parts,
9535.SR,9535,Real Estate,Real Estate—Development,
9536.SR,9536,Consumer Defensive,Packaged Foods,
9537.SR,9537,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
9538.SR,9538,Technology,Information Technology Services,
9539.SR,9539,Energy,Oil & Gas Refining & Marketing,
9540.SR,9540,Industrials,Waste Management,
9541.SR,9541,Consumer Defensive,Education & Training Services,
9542.SR,9542,Technology,Communication Equipment,
9543.SR,9543,Industrials,Consulting Services,
9544.SR,9544,Healthcare,Medical Care Facilities,
9545.SR,9545,Industrials,Staffing & Employment Services,
