provider_symbol,symbol,sector,industry,source
FABTECH.NS,FABTECH,Healthcare,Health Information Services,
FACT.NS,FACT,Basic Materials,Agricultural Inputs,
FAIRCHEMOR.NS,FAIRCHEMOR,Basic Materials,Specialty Chemicals,
FAZE3Q.NS,FAZE3Q,Consumer Cyclical,Textile Manufacturing,
FCL.NS,FCL,Basic Materials,Specialty Chemicals,
FCONSUMER.NS,FCONSUMER,Consumer Defensive,Packaged Foods,
FCSSOFT.NS,FCSSOFT,Technology,Information Technology Services,
FDC.NS,FDC,Healthcare,Drug Manufacturers—Specialty & Generic,
FEDERALBNK.NS,FEDERALBNK,Financial Services,Banks—Regional,
FEDFINA.NS,FEDFINA,Financial Services,Credit Services,
FIBERWEB.NS,FIBERWEB,Consumer Cyclical,Textile Manufacturing,
FIEMIND.NS,FIEMIND,Consumer Cyclical,Auto Parts,
FILATEX.NS,FILATEX,Consumer Cyclical,Textile Manufacturing,
FILATFASH.NS,FILATFASH,Consumer Cyclical,Apparel Manufacturing,
FINCABLES.NS,FINCABLES,Industrials,Electrical Equipment & Parts,
FINEORG.NS,FINEORG,Basic Materials,Specialty Chemicals,
FINKURVE.NS,FINKURVE,Financial Services,Credit Services,
FINOPB.NS,FINOPB,Financial Services,Banks—Regional,
FINPIPE.NS,FINPIPE,Industrials,Building Products & Equipment,
FIRSTCRY.NS,FIRSTCRY,Consumer Cyclical,Internet Retail,
FISCHER.NS,FISCHER,Healthcare,Medical Devices,
FIVESTAR.NS,FIVESTAR,Financial Services,Credit Services,
FLAIR.NS,FLAIR,Industrials,Business Equipment & Supplies,
FLEXITUFF.NS,FLEXITUFF,Consumer Cyclical,Textile Manufacturing,
FLUOROCHEM.NS,FLUOROCHEM,Basic Materials,Specialty Chemicals,
FMGOETZE.NS,FMGOETZE,Consumer Cyclical,Auto Parts,
FMNL.NS,FMNL,Real Estate,Real Estate Services,
FOCUS.NS,FOCUS,Consumer Cyclical,"Furnishings, Fixtures & Appliances",
FOODSIN.NS,FOODSIN,Consumer Defensive,Packaged Foods,
FORCEMOT.NS,FORCEMOT,Consumer Cyclical,Auto Manufacturers,
FORTIS.NS,FORTIS,Healthcare,Medical Care Facilities,
FOSECOIND.NS,FOSECOIND,Basic Materials,Chemicals,
FRACTAL.NS,FRACTAL,Technology,Software—Infrastructure,
FSL.NS,FSL,Technology,Information Technology Services,
FUSION.NS,FUSION,Financial Services,Credit Services,
GABRIEL.NS,GABRIEL,Consumer Cyclical,Auto Parts,
GAEL.NS,GAEL,Consumer Defensive,Packaged Foods,
GAIL.NS,GAIL,Utilities,Utilities—Regulated Gas,
GALAPREC.NS,GALAPREC,Industrials,Specialty Industrial Machinery,
GALAXYSURF.NS,GALAXYSURF,Basic Materials,Specialty Chemicals,
GALLANTT.NS,GALLANTT,Basic Materials,Steel,
GANDHAR.NS,GANDHAR,Energy,Oil & Gas Refining & Marketing,
GANDHITUBE.NS,GANDHITUBE,Industrials,Metal Fabrication,
GANECOS.NS,GANECOS,Consumer Cyclical,Textile Manufacturing,
GANESHBE.NS,GANESHBE,Basic Materials,Specialty Chemicals,
GANESHCP.NS,GANESHCP,Consumer Defensive,Packaged Foods,
GANESHHOU.NS,GANESHHOU,Real Estate,Real Estate—Development,
