provider_symbol,symbol,sector,industry,source
SURC.KA,SURC,Textile Composite,,
SUTM.KA,SUTM,Textile Spinning,,
SYM.KA,SYM,Technology & Communication,,
SYS.KA,SYS,Technology & Communication,IT Services,
SZTM.KA,SZTM,Textile Spinning,,
TATM.KA,TATM,Textile Spinning,,
TCORP.KA,TCORP,Sugar & Allied Industries,,
TELE.KA,TELE,Technology & Communication,,
TGL.KA,TGL,Glass & Ceramics,,
THALL.KA,THALL,Automobile Parts & Accessories,,
THCCL.KA,THCCL,Cement,,
TICL.KA,TICL,Sugar & Allied Industries,,
TOMCL.KA,TOMCL,Food & Personal Care Products,,
TOWL.KA,TOWL,Textile Composite,,
TPL.KA,TPL,Technology & Communication,,
TPLI.KA,TPLI,Insurance,,
TPLL.KA,TPLL,Insurance,,
TPLP.KA,TPLP,Property,,
TPLT.KA,TPLT,Technology & Communication,,
TREET.KA,TREET,Food & Personal Care Products,,
TRG.KA,TRG,Technology & Communication,,
TRIPF.KA,TRIPF,Miscellaneous,,
TRSM.KA,TRSM,Modarabas,,
TSBL.KA,TSBL,Inv. Banks / Inv. Cos. / Securities Cos.,,
TSML.KA,TSML,Sugar & Allied Industries,,
TSPL.KA,TSPL,Power Generation & Distribution,,
UBDL.KA,UBDL,Miscellaneous,,
UBL.KA,UBL,COMMERCIAL BANKS,Banks,
UCAPM.KA,UCAPM,Modarabas,,
UDPL.KA,UDPL,Miscellaneous,,
UNIC.KA,UNIC,Insurance,,
UNITY.KA,UNITY,Food & Personal Care Products,,
UPFL.KA,UPFL,Food & Personal Care Products,,
UVIC.KA,UVIC,Insurance,,
WAFI.KA,WAFI,Oil & Gas Marketing Companies,,
WAHDAT.KA,WAHDAT,Food & Personal Care Products,,
WAHN.KA,WAHN,Chemical,,
WASL.KA,WASL,Modarabas,,
WAVES.KA,WAVES,Cable & Electrical Goods,,
WTL.KA,WTL,Technology & Communication,,
ZAHID.KA,ZAHID,Textile Composite,,
ZAL.KA,ZAL,Technology & Communication,,
ZIL.KA,ZIL,Food & Personal Care Products,,
ZTL.KA,ZTL,Textile Weaving,,
ZUMA.KA,ZUMA,Technology & Communication,,
