provider_symbol,symbol,name,region,market_code,sector,industry
KIRANVYPAR.NS,KIRANVYPAR,Kiran Vyapar Limited,india,NSE,,
KKVAPOW.NS,KKVAPOW,KKV Agro Powers Limited,india,NSE,,
KLBRENG-B.NS,KLBRENG-B,Kilburn Engineering Limited,india,NSE,,
KLL.NS,KLL,Kaushalya Logistics Limited,india,NSE,,
KODYTECH.NS,KODYTECH,Kody Technolab Limited,india,NSE,,
KONSTELEC.NS,KONSTELEC,Konstelec Engineers Limited,india,NSE,,
KONTOR.NS,KONTOR,Kontor Space Limited,india,NSE,,
KORE.NS,KORE,Jay Jalaram Technologies Limited,india,NSE,,
KOTIC.NS,KOTIC,Kothari Industrial Corporation Limited,india,NSE,,
KPL.NS,KPL,Kwality Pharmaceuticals Limited,india,NSE,,
KRISHCA.NS,KRISHCA,Krishca Strapping Solutions Limited,india,NSE,,
KTL.NS,KTL,Kalahridhaan Trendz Limited,india,NSE,,
LAHOTIOV.NS,LAHOTIOV,Lahoti Overseas Limited,india,NSE,,
LLOYDS.NS,LLOYDS,Lloyds Luxuries Limited,india,NSE,,
LRRPL.NS,LRRPL,Lead Reclaim and Rubber Products Limited,india,NSE,,
MADHAVBAUG.NS,MADHAVBAUG,Vaidya Sane Ayurved Laboratories Limited,india,NSE,,
MADHAVIPL.NS,MADHAVIPL,Madhav Infra Projects Limited,india,NSE,,
MADHUSUDAN.NS,MADHUSUDAN,Madhusudan Masala Limited,india,NSE,,
MAGSON.NS,MAGSON,Magson Retail and Distribution Limited,india,NSE,,
MAHICKRA.NS,MAHICKRA,Mahickra Chemicals Limited,india,NSE,,
MAITREYA.NS,MAITREYA,Maitreya Medicare Limited,india,NSE,,
MAKS.NS,MAKS,Maks Energy Solutions India Limited,india,NSE,,
MAL.NS,MAL,Mangalam Alloys Limited,india,NSE,,
MANAV.NS,MANAV,Manav Infra Projects Limited,india,NSE,,
MANDEEP.NS,MANDEEP,Mandeep Auto Industries Limited,india,NSE,,
MARC.NS,MARC,Marc Technocrats Limited,india,NSE,,
MARCO.NS,MARCO,Marco Cables & Conductors Limited,india,NSE,,
MARINETRAN.NS,MARINETRAN,Marinetrans India Limited,india,NSE,,
MARSHALL.NS,MARSHALL,Marshall Machines Limited,india,NSE,,
MASON.NS,MASON,Mason Infratech Limited,india,NSE,,
MASTER.NS,MASTER,Master Components Limited,india,NSE,,
MAXPOSURE.NS,MAXPOSURE,Maxposure Limited,india,NSE,,
MBECL.NS,MBECL,McNally Bharat Engineering Company Limited,india,NSE,,
MCCHRLS-B.NS,MCCHRLS-B,Mac Charles India Limited,india,NSE,,
MCON.NS,MCON,MCON Rasayan India Limited,india,NSE,,
MDL.NS,MDL,Marvel Decor Limited,india,NSE,,
MEDIORG.NS,MEDIORG,Medicamen Organics Limited,india,NSE,,
MEGAFLEX.NS,MEGAFLEX,Mega Flex Plastics Limited,india,NSE,,
MEGATHERM.NS,MEGATHERM,Megatherm Induction Limited,india,NSE,,
MENNPIS.NS,MENNPIS,Menon Pistons Limited,india,NSE,,
MERCANTILE.NS,MERCANTILE,Mercantile Ventures Limited,india,NSE,,
MHHL.NS,MHHL,Mohini Health & Hygiene Limited,india,NSE,,
MICROPRO.NS,MICROPRO,Micropro Software Solutions Limited,india,NSE,,
MILTON.NS,MILTON,Milton Industries Limited,india,NSE,,
MINDPOOL.NS,MINDPOOL,Mindpool Technologies Limited,india,NSE,,
